Step-eval,Value-eval,Step-eval1,Value-eval1,Step-eval2,Value-eval2
4589970,43.2852516174,109829970,548.6564941406,219749970,619.548828125
4619970,69.6855773926,109859970,326.2343139648,219779970,675.7260131836
4649970,60.4934425354,109889970,371.8683166504,219809970,501.2075805664
4679970,38.2506103516,109919970,399.5903015137,219824970,14.2534809113
4709970,36.7999153137,109949970,472.899230957,219839970,460.8513793945
4739970,42.3395729065,109979970,531.9251098633,219869970,575.5842285156
4754970,124.0015258789,110009970,380.5913696289,219884970,41.9351272583
4769970,52.7764816284,110039970,422.2930908203,219899970,604.8423461914
4799970,44.8696861267,110054970,58.7008895874,219929970,602.557800293
4829970,34.5472564697,110069970,328.7633361816,219959970,482.9580078125
4859970,28.0458049774,110099970,331.7565002441,219974970,46.3912887573
4889970,40.2578048706,110129970,358.0496826172,219989970,569.9456787109
4919970,28.7188472748,110159970,476.1000671387,220019970,562.1862182617
4949970,36.7090911865,110174970,298.1029052734,220049970,555.1466064453
4979970,49.917552948,110189970,296.3345947266,220064970,489.7906188965
5009970,31.0271892548,110219970,278.8171081543,220079970,438.2620239258
5039970,49.5888595581,110249970,379.7710266113,220109970,443.6983642578
5069970,46.8065834045,110264970,162.2442779541,220139970,648.2211303711
5099970,45.6809005737,110279970,480.0464172363,220169970,453.6210632324
5129970,41.8315505981,110309970,372.123626709,220199970,724.1383666992
5159970,69.9043807983,110339970,244.6307220459,220214970,552.7001953125
5189970,40.8159065247,110354970,75.1748199463,220229970,773.6434936523
5219970,41.3056907654,110369970,445.3322753906,220259970,509.6636047363
5249970,52.9481620789,110399970,407.8058166504,220274970,198.7230377197
5279970,37.8870353699,110429970,502.7872009277,220289970,506.8942260742
5309970,32.2870521545,110444970,794.2954101563,220319970,575.9313964844
5339970,41.9507255554,110459970,454.1463623047,220349970,648.0667724609
5369970,38.8147850037,110489970,469.7764587402,220364970,148.1311187744
5399970,46.8433456421,110519970,528.0684204102,220379970,699.5944213867
5429970,51.944644928,110534970,406.015625,220409970,659.6884765625
5459970,64.7895889282,110549970,367.8334960938,220424970,429.0868835449
5489970,65.201675415,110564970,265.0206604004,220439970,537.657043457
5519970,58.796497345,110579970,408.2692565918,220469970,627.0309448242
5549970,81.1389846802,110609970,308.7168579102,220499970,752.4183959961
5579970,51.9901657104,110624970,64.6996383667,220514970,94.1691665649
5609970,66.7159118652,110639970,294.0176696777,220529970,448.6440734863
5639970,55.6451644897,110669970,455.0743713379,220544970,374.295135498
5669970,96.1255187988,110684970,372.7261962891,220559970,728.9483642578
5699970,74.4190750122,110699970,425.9008789063,220589970,524.5980834961
5729970,77.128288269,110714970,351.6726074219,220619970,734.2211303711
5759970,53.5984840393,110729970,591.8666381836,220649970,738.0017089844
5789970,74.9291305542,110759970,335.6784973145,220679970,769.245300293
5819970,83.6379470825,110789970,323.938873291,220709970,554.4487915039
5849970,83.6766281128,110819970,406.1276245117,220739970,602.7647705078
5879970,83.8195648193,110834970,179.2178039551,220769970,580.0327758789
5909970,67.9890594482,110849970,327.5921020508,220799970,476.3082580566
5939970,95.5074081421,110879970,193.7714233398,220829970,659.7762451172
5954970,0.8461045027,110909970,430.7490234375,220859970,609.5205688477
5969970,69.1191864014,110939970,372.7032775879,220874970,130.9185333252
5999970,87.4821853638,110969970,494.4358825684,220889970,457.7622375488
6029970,42.2693901062,110999970,400.6460876465,220919970,483.6246643066
6044970,19.7942371368,111014970,78.6268920898,220934970,190.5742492676
6059970,103.065826416,111029970,379.4541015625,220949970,662.2350463867
6074970,1.8877972364,111059970,542.5833129883,220964970,254.5778045654
6089970,74.1820678711,111074970,231.4112548828,220979970,499.9364929199
6104970,48.8116569519,111089970,544.3618164063,221009970,687.987121582
6119970,79.5633544922,111119970,578.8388061523,221024970,8.6868648529
6149970,74.1682815552,111149970,394.2680969238,221039970,824.7588500977
6179970,91.9425964355,111164970,441.697265625,221069970,599.985534668
6194970,88.6119384766,111179970,293.5051269531,221099970,481.9453735352
6209970,66.2284927368,111194970,200.3684234619,221129970,380.0375976563
6239970,88.1801528931,111209970,436.9781188965,221144970,485.2421264648
6254970,46.3143463135,111239970,444.9350280762,221159970,507.2963256836
6269970,58.2950706482,111254970,73.9717559814,221189970,512.9218139648
6299970,93.6457824707,111269970,282.7551574707,221219970,590.455078125
6314970,15.1032238007,111284970,742.3543701172,221234970,319.7858276367
6329970,81.031463623,111299970,319.9044189453,221249970,363.5371704102
6359970,88.0253829956,111329970,422.5365905762,221279970,582.4320068359
6389970,81.4356155396,111359970,406.248626709,221309970,508.7330322266
6419970,60.2718734741,111374970,123.9556045532,221339970,526.1994628906
6449970,66.11668396,111389970,357.5435180664,221354970,293.1340026855
6479970,77.1337890625,111404970,55.5049743652,221369970,358.9735717773
6509970,74.5383834839,111419970,386.6958312988,221399970,590.9966430664
6539970,77.6115264893,111434970,117.6725921631,221414970,270.3097229004
6554970,29.425403595,111449970,522.5771484375,221429970,577.0661010742
6569970,59.7007675171,111464970,8.9354686737,221444970,270.2994384766
6599970,74.112663269,111479970,502.8869018555,221459970,554.4982910156
6629970,100.0063018799,111509970,380.2599487305,221489970,494.4073791504
6659970,39.8313980103,111539970,422.8444519043,221504970,705.5947875977
6689970,44.1740875244,111554970,140.7670288086,221519970,576.1475219727
6719970,76.9358444214,111569970,451.7895812988,221549970,431.1089172363
6749970,86.6416778564,111599970,346.0691833496,221579970,530.0765991211
6779970,68.052986145,111614970,397.8721618652,221594970,54.7273445129
6809970,75.4882888794,111629970,556.4110717773,221609970,544.6724243164
6839970,108.54637146,111644970,254.2161865234,221624970,44.316860199
6869970,90.2035293579,111659970,503.4638061523,221639970,513.787902832
6899970,94.4681015015,111689970,494.3588562012,221654970,806.9313964844
6929970,68.8784255981,111719970,411.7538757324,221669970,484.7349853516
6959970,102.068687439,111749970,383.9791870117,221684970,278.9516906738
6989970,96.0180892944,111764970,96.5515899658,221699970,587.3389282227
7019970,102.1848907471,111779970,390.600982666,221714970,75.1152496338
7049970,85.705696106,111809970,444.4295349121,221729970,682.98046875
7079970,85.6064376831,111839970,376.7186279297,221744970,152.2629241943
7109970,84.163848877,111854970,31.2325363159,221759970,705.1612548828
7139970,91.3327407837,111869970,289.0626831055,221774970,329.0248413086
7169970,89.8411178589,111884970,896.9156494141,221789970,572.6510009766
7199970,99.0721740723,111899970,422.1434326172,221819970,370.360748291
7229970,136.831451416,111929970,491.4782409668,221849970,604.5037231445
7244970,-2.0089669228,111959970,436.830078125,221879970,418.2342834473
7259970,115.3085021973,111989970,255.0963592529,221894970,431.4532165527
7289970,129.7799987793,112004970,110.2166900635,221909970,563.7576293945
7319970,137.3021850586,112019970,341.1310119629,221939970,558.1192016602
7349970,110.0254058838,112034970,143.8774261475,221954970,264.597442627
7379970,132.5353088379,112049970,302.0168762207,221969970,525.2318725586
7409970,129.4483184814,112079970,385.7278747559,221984970,27.2311058044
7439970,114.0753097534,112094970,51.8560371399,221999970,483.0054016113
7454970,61.853351593,112109970,518.6864013672,222014970,12.5582790375
7469970,111.4763183594,112124970,36.8575592041,222029970,511.520690918
7499970,90.5063018799,112139970,425.7501220703,222059970,668.8077392578
7529970,107.419090271,112154970,43.2452011108,222089970,636.6597900391
7559970,78.6748428345,112169970,460.6689147949,222119970,482.0651550293
7589970,105.8540420532,112184970,194.0224609375,222134970,626.4292602539
7619970,125.7971954346,112199970,265.8746643066,222149970,618.3770141602
7649970,115.4908981323,112214970,135.013168335,222164970,393.3404846191
7679970,101.8591766357,112229970,408.8042297363,222179970,758.3379516602
7709970,113.7495880127,112244970,181.5229187012,222194970,47.7424354553
7739970,122.884979248,112259970,404.7026977539,222209970,581.6685791016
7769970,138.7813873291,112289970,448.2027282715,222224970,24.6362762451
7799970,93.3852615356,112319970,334.8187255859,222239970,484.6144714355
7829970,75.1218338013,112349970,494.4255981445,222269970,589.2305297852
7859970,83.8155059814,112364970,27.3841819763,222284970,316.1246643066
7889970,125.2618255615,112379970,395.0808105469,222299970,565.2514038086
7919970,108.2783737183,112394970,650.9143676758,222329970,601.8053588867
7934970,89.223197937,112409970,347.6360778809,222344970,623.4540405273
7949970,114.6383209229,112439970,367.0608825684,222359970,608.8947753906
7979970,97.4541015625,112454970,1.524934411,222374970,326.9601745605
8009970,123.4976882935,112469970,401.1277160645,222389970,591.9235839844
8039970,102.5127487183,112484970,13.9587583542,222404970,457.3535766602
8069970,114.0994644165,112499970,276.6748657227,222419970,412.6899108887
8099970,112.3364715576,112529970,297.0344848633,222434970,631.1740722656
8129970,114.3878326416,112559970,366.0704345703,222449970,791.5869140625
8159970,78.7945632935,112589970,539.3207397461,222464970,523.2239379883
8174970,5.0365829468,112604970,82.2640914917,222479970,654.2749633789
8189970,93.7778396606,112619970,351.5114440918,222494970,165.2018432617
8204970,27.3068256378,112649970,311.4134216309,222509970,509.4681396484
8219970,97.2193832397,112664970,149.4078216553,222524970,323.6313171387
8249970,97.1550064087,112679970,314.2062988281,222539970,700.257019043
8279970,99.114112854,112694970,127.3954925537,222554970,147.0807189941
8309970,79.6703109741,112709970,423.6809997559,222569970,420.3586120605
8339970,101.2531280518,112724970,28.2702789307,222584970,536.4455566406
8369970,119.3276290894,112739970,213.4877471924,222599970,489.2001037598
8384970,15.0037956238,112769970,238.5110626221,222614970,517.2332763672
8399970,95.2004318237,112784970,44.6479911804,222629970,670.4485473633
8414970,-21.9465103149,112799970,430.2907409668,222659970,572.0182495117
8429970,106.6933441162,112829970,376.7827148438,222689970,537.4298095703
8444970,3.550914526,112844970,156.1530303955,222719970,492.8916625977
8459970,107.1849975586,112859970,333.3691711426,222749970,490.1351928711
8489970,110.6431655884,112874970,42.9019966125,222764970,44.7048454285
8519970,110.7551574707,112889970,320.8505249023,222779970,502.649017334
8549970,86.0515899658,112904970,36.0950393677,222809970,524.8123779297
8579970,108.357460022,112919970,284.7915344238,222839970,541.2919921875
8609970,96.809715271,112949970,535.9306640625,222869970,353.6199645996
8624970,26.9669589996,112964970,355.4718933105,222884970,486.5178527832
8639970,94.867477417,112979970,426.0462646484,222899970,477.7079467773
8669970,73.0307998657,112994970,88.5804367065,222914970,122.0978546143
8684970,38.4081039429,113009970,352.5785217285,222929970,355.1866455078
8699970,98.7897186279,113039970,328.5682678223,222959970,463.5809631348
8729970,114.5160980225,113069970,534.2554321289,222974970,634.9846801758
8759970,124.3818511963,113099970,393.836151123,222989970,370.4287414551
8774970,24.5713291168,113129970,369.9986572266,223004970,468.5721740723
8789970,117.4651260376,113159970,404.6792602539,223019970,557.71875
8819970,106.7821884155,113189970,427.5338134766,223049970,557.2461547852
8849970,103.7046737671,113219970,587.7504272461,223064970,272.8997497559
8879970,83.0543365479,113249970,346.0169372559,223079970,491.6585388184
8909970,141.0511932373,113264970,295.8135681152,223094970,58.1016387939
8924970,15.9613742828,113279970,505.0347595215,223109970,634.9494018555
8939970,122.7999954224,113309970,405.2538452148,223139970,651.796875
8969970,132.7810821533,113339970,435.4507141113,223169970,475.6121826172
8999970,105.0021743774,113369970,461.1606750488,223184970,672.4370117188
9029970,124.4180603027,113399970,315.75,223199970,447.7392578125
9059970,124.2458267212,113414970,38.8818206787,223229970,528.0654296875
9089970,101.024810791,113429970,482.3301391602,223244970,373.7879943848
9104970,31.4281387329,113444970,99.873916626,223259970,386.9894714355
9119970,98.1207122803,113459970,346.4389953613,223274970,494.5537719727
9149970,112.183052063,113474970,240.185333252,223289970,555.9166870117
9164970,29.3775215149,113489970,423.2237243652,223304970,175.0970916748
9179970,142.4798736572,113504970,135.91746521,223319970,447.2734985352
9209970,91.3336639404,113519970,326.545135498,223349970,422.0336608887
9239970,89.9988479614,113534970,681.299987793,223379970,440.3547058105
9269970,96.6352233887,113549970,439.2649230957,223394970,412.9196777344
9299970,96.3425598145,113564970,59.2551383972,223409970,402.3951721191
9329970,91.3310928345,113579970,536.1060791016,223439970,532.4412841797
9344970,15.4913539886,113609970,376.4110412598,223454970,382.9531860352
9359970,68.5795211792,113639970,460.671661377,223469970,512.7504882813
9389970,99.3850021362,113654970,44.1108551025,223484970,100.6748504639
9419970,92.9003143311,113669970,533.0377197266,223499970,372.6655883789
9449970,81.7109375,113684970,291.1991577148,223514970,115.4775466919
9464970,93.7238769531,113699970,479.0654602051,223529970,501.586730957
9479970,144.7414245605,113729970,431.7379150391,223544970,478.1317749023
9494970,71.1691970825,113744970,359.0413818359,223559970,471.1348571777
9509970,84.2726898193,113759970,264.600189209,223574970,347.9725646973
9524970,-8.3544387817,113789970,275.3168334961,223589970,429.4948120117
9539970,108.3916549683,113804970,196.8575897217,223619970,445.4555969238
9569970,116.5558242798,113819970,338.430480957,223634970,123.907371521
9599970,119.6466598511,113849970,316.6562194824,223649970,543.3907470703
9629970,99.6866531372,113879970,382.8115844727,223664970,96.676651001
9659970,122.2310562134,113909970,497.3922729492,223679970,604.2658691406
9689970,102.4692459106,113939970,412.8894958496,223694970,10.4428501129
9719970,122.0644683838,113969970,513.5509033203,223709970,722.3280639648
9749970,148.5097808838,113999970,334.2670898438,223739970,423.3277893066
9764970,114.7592926025,114014970,47.1724700928,223754970,941.2963867188
9779970,112.8397521973,114029970,343.1391296387,223769970,514.414855957
9809970,94.1271820068,114059970,420.9042358398,223784970,22.7919006348
9824970,108.6758880615,114089970,452.5561523438,223799970,674.9914550781
9839970,94.9311599731,114119970,360.6377868652,223814970,526.9851074219
9869970,146.9581451416,114134970,257.3212890625,223829970,548.7617797852
9899970,124.0400695801,114149970,489.8821411133,223859970,446.3247375488
9929970,143.0596008301,114164970,64.3665924072,223889970,459.7454833984
9959970,118.8327560425,114179970,397.757019043,223904970,112.7887802124
