Step-eval,Value-eval
22079970,76.7927780151
22109970,104.2760009766
22139970,77.6784667969
22169970,88.9760971069
22199970,95.2669677734
22229970,106.0573883057
22259970,130.288772583
22289970,85.1497573853
22319970,115.6606292725
22349970,91.2893371582
22379970,107.7538223267
22409970,94.7175674438
22439970,143.3661651611
22454970,-0.092146337
22469970,122.0499954224
22484970,-3.0381035805
22499970,133.6915435791
22529970,130.1055450439
22559970,124.1153640747
22574970,0.6061620712
22589970,85.7953109741
22604970,20.0802574158
22619970,150.1461334229
22634970,-3.152192831
22649970,165.5752105713
22664970,99.0972671509
22679970,138.8409118652
22694970,-2.5916645527
22709970,121.9176940918
22739970,109.5357131958
22769970,106.642288208
22799970,123.6004180908
22814970,35.4126739502
22829970,83.8761749268
22859970,129.1201629639
22889970,103.5331573486
22904970,2.4534153938
22919970,116.8329849243
22949970,99.3675918579
22979970,103.6415786743
22994970,17.6440258026
23009970,151.7997589111
23024970,-0.1290287375
23039970,127.46484375
23054970,-8.9340763092
23069970,118.8430862427
23099970,129.0360412598
23129970,113.9606552124
23144970,95.0200119019
23159970,161.6530609131
23174970,14.1897573471
23189970,138.6617279053
23219970,102.5001220703
23234970,-57.3967971802
23249970,158.5411529541
23279970,127.4806900024
23309970,126.538772583
23339970,122.045135498
23369970,119.0978851318
23384970,-59.1490402222
23399970,128.5286560059
23429970,141.7747497559
23444970,132.9177398682
23459970,79.48097229
23474970,3.9206628799
23489970,123.4648895264
23504970,-5.8962440491
23519970,107.709487915
23534970,45.843372345
23549970,130.7755889893
23579970,111.9123306274
23609970,122.7434082031
23639970,122.3101959229
23669970,109.6756973267
23684970,98.0266799927
23699970,111.8625946045
23714970,155.0190429688
23729970,114.9484863281
23744970,66.6218795776
23759970,159.7281646729
23789970,90.4763870239
23819970,121.6357116699
23849970,102.9137191772
23879970,139.9655761719
23909970,142.1712036133
23939970,136.5668029785
23969970,111.5148696899
23984970,11.4920845032
23999970,81.6010513306
24014970,89.880897522
24029970,120.7128448486
24059970,105.1614990234
24074970,57.952911377
24089970,97.2435379028
24119970,113.2769470215
24134970,44.9542198181
24149970,89.8911972046
24179970,118.6408462524
24209970,115.0937271118
24239970,108.7807922363
24269970,90.0576019287
24284970,-12.1009254456
24299970,92.6647644043
24329970,101.7078704834
24359970,111.0631866455
24389970,95.0524368286
24419970,90.224571228
24449970,112.9052963257
24479970,135.7182769775
24494970,27.2547550201
24509970,121.4797210693
24539970,97.0830841064
24569970,170.29637146
24599970,97.8406066895
24629970,96.0870742798
24659970,116.6558609009
24689970,125.9229202271
24719970,127.2409515381
24734970,2.8176198006
24749970,105.3386306763
24764970,7.8543357849
24779970,140.3325653076
24794970,47.925403595
24809970,107.1110076904
24839970,100.4853210449
24854970,5.722910881
24869970,125.38646698
24899970,108.0439758301
24929970,115.1427078247
24959970,119.6899108887
24989970,145.0123748779
25019970,116.2340621948
25049970,107.0884857178
25079970,107.1502609253
25094970,104.4215087891
25109970,116.0423812866
25124970,69.4708633423
25139970,68.5423431396
25169970,91.1853713989
25199970,69.2588882446
25229970,125.5515518188
25259970,111.6044158936
25289970,89.8811264038
25319970,98.0914382935
25349970,104.3793411255
25379970,71.2057952881
25409970,101.781578064
25439970,155.3539581299
25469970,123.1424713135
25484970,54.6879081726
25499970,106.9798965454
25529970,118.6420516968
25559970,71.1549987793
25589970,84.8561553955
25604970,61.3785705566
25619970,105.6761779785
25649970,86.147567749
25679970,110.6831436157
25694970,19.5274238586
25709970,79.2073822021
25724970,29.104133606
25739970,87.6357574463
25754970,9.2502689362
25769970,107.1491622925
25784970,101.2961273193
25799970,82.6605758667
25829970,137.0691680908
25859970,172.4600524902
25889970,127.1276550293
25919970,84.6200866699
25949970,140.5791625977
25979970,130.5071563721
26009970,120.2700042725
26039970,117.8132171631
26069970,136.7554473877
26084970,11.0053100586
26099970,75.5114059448
26129970,123.1870346069
26144970,104.8633956909
26159970,100.178024292
26189970,90.7167053223
26204970,4.0542507172
26219970,133.5574645996
26249970,83.023727417
26264970,2.1532547474
26279970,107.4697494507
26294970,8.6016016006
26309970,101.6001815796
26324970,55.3668518066
26339970,101.5088043213
26354970,91.7419509888
26369970,116.2484588623
26399970,118.2008132935
26414970,5.890748024
26429970,108.6344909668
26444970,6.3815569878
26459970,119.3144226074
26474970,14.7647676468
26489970,120.5953521729
26504970,23.7673358917
26519970,82.9940109253
26534970,11.4258260727
26549970,91.2951507568
26579970,112.5781097412
26594970,51.4264831543
26609970,102.3538970947
26639970,110.5965957642
26654970,-18.2946052551
26669970,168.2274475098
26699970,110.3728866577
26714970,145.6468505859
26729970,137.7200317383
26744970,97.7262649536
26759970,112.7322616577
26774970,116.080581665
26789970,136.1630401611
26804970,107.720664978
26819970,121.5443496704
26849970,82.8920669556
26879970,143.0368347168
26894970,139.7573242188
26909970,119.2284927368
26939970,107.650352478
26969970,149.8101348877
26984970,69.372718811
26999970,104.3930206299
27014970,207.1655578613
27029970,135.4577178955
27044970,60.6063766479
27059970,104.2793960571
27074970,38.2043457031
27089970,170.8360748291
27104970,7.7101140022
27119970,114.080039978
27134970,-7.4167461395
27149970,123.9121322632
27164970,3.689977169
27179970,153.8547973633
27209970,111.2337341309
27224970,21.6649150848
27239970,115.900680542
27269970,75.5736465454
27299970,90.0753097534
27329970,103.360748291
27359970,114.7418136597
27389970,109.7260513306
27419970,114.9277191162
27449970,97.4780349731
27479970,147.1075744629
27509970,88.2883758545
27539970,97.6549758911
27569970,115.4809341431
27584970,92.7100830078
27599970,101.6494903564
27629970,114.9573745728
27659970,124.0517349243
27674970,1.6144170761
27689970,113.7342758179
27719970,103.3061981201
27749970,106.4822769165
27779970,119.0723419189
27809970,101.1809539795
