Step-eval,Value-eval,Step-eval1,Value-eval1,Step-eval2,Value-eval2,Step-eval3,Value-eval3
1619970,235.6884918213,47024970,146.536895752,69194970,109.5519180298,136694970,185.4649353027
1634970,34.0156059265,47039970,1186.0053710938,69209970,841.3561401367,136709970,733.3570556641
1649970,288.8738708496,47054970,123.0286560059,69224970,199.3499755859,136724970,174.5230712891
1664970,72.6145401001,47069970,1218.2412109375,69239970,802.3746337891,136739970,771.7279052734
1679970,240.7162628174,47084970,95.3832397461,69254970,176.7409820557,136754970,298.5144348145
1694970,81.5363388062,47099970,1176.0294189453,69269970,884.3875732422,136769970,901.2371826172
1709970,235.6336517334,47114970,248.92918396,69284970,213.7856292725,136784970,423.7520446777
1724970,167.9130554199,47129970,1439.0864257813,69299970,710.8377075195,136799970,844.6286010742
1739970,239.7362670898,47144970,226.8877410889,69314970,80.3274002075,136814970,187.377532959
1754970,92.7647094727,47159970,848.1301269531,69329970,925.2285766602,136829970,997.7175292969
1769970,239.0602264404,47189970,1276.5838623047,69344970,210.7245635986,136844970,264.205078125
1784970,188.6765136719,47204970,418.5410766602,69359970,980.1065673828,136859970,1002.667175293
1799970,285.2777099609,47219970,1565.8927001953,69374970,190.4485473633,136874970,304.0332336426
1814970,138.3573913574,47234970,394.2565002441,69389970,952.2484130859,136889970,1037.8071289063
1829970,234.700668335,47249970,1332.9088134766,69404970,123.8459777832,136904970,310.8870544434
1844970,73.9195709229,47279970,1400.0739746094,69419970,930.5947875977,136919970,915.4927368164
1859970,319.3583068848,47294970,278.4637145996,69434970,227.1533508301,136934970,150.2875976563
1874970,62.8423194885,47309970,1277.7377929688,69449970,898.1635742188,136949970,852.1188354492
1889970,237.1920776367,47324970,75.683631897,69464970,177.4790802002,136964970,192.2931213379
1904970,110.3710479736,47339970,1245.5789794922,69479970,864.1577758789,136979970,997.681640625
1919970,247.2267456055,47354970,166.7428283691,69494970,186.8710327148,136994970,356.6843261719
1934970,116.2923049927,47369970,1360.6566162109,69509970,844.4483032227,137009970,984.0106201172
1949970,257.1280212402,47384970,179.4736633301,69524970,247.4255828857,137024970,229.7796630859
1964970,157.8997497559,47399970,1264.8334960938,69539970,1020.7358398438,137039970,810.8787841797
1979970,266.2528686523,47414970,100.7548980713,69569970,1040.8814697266,137054970,225.8113250732
1994970,147.6483001709,47429970,1493.3078613281,69584970,176.0218048096,137069970,1050.4704589844
2009970,275.9272460938,47444970,115.3420715332,69599970,1188.6068115234,137084970,296.8910217285
2024970,132.8883666992,47459970,1312.4041748047,69614970,151.5328369141,137099970,863.626159668
2039970,292.7670288086,47474970,33.0814247131,69629970,1035.4403076172,137114970,186.818862915
2054970,110.3925247192,47489970,1229.0010986328,69644970,265.775390625,137129970,904.4186401367
2069970,310.9085388184,47504970,154.5501403809,69659970,900.4004516602,137144970,138.1972045898
2084970,137.2888183594,47519970,1387.34765625,69674970,191.252532959,137159970,703.7525634766
2099970,357.2261657715,47534970,190.5402832031,69689970,917.7875366211,137174970,182.7227478027
2114970,144.002532959,47549970,1302.2741699219,69704970,164.3146057129,137189970,924.0095214844
2129970,313.7837219238,47564970,239.6337890625,69719970,954.8656616211,137204970,449.8458862305
2144970,93.3973083496,47579970,1178.1766357422,69734970,227.285369873,137219970,1058.7265625
2159970,319.4746398926,47594970,226.0364990234,69749970,930.1470947266,137234970,286.0830383301
2174970,126.165473938,47609970,1376.8460693359,69764970,177.696472168,137249970,856.3059692383
2189970,321.3848266602,47624970,79.8069000244,69779970,1143.7180175781,137264970,267.3071899414
