Step-eval,Value-eval,Step-eval1,Value-eval1,Step-eval2,Value-eval2,Step-eval3,Value-eval3
2489970,359.5756225586,43649970,1368.8492431641,69104970,126.6504364014,164564970,271.2217407227
2519970,322.0350036621,43664970,95.1980895996,69119970,827.3692626953,164579970,855.2406005859
2549970,351.7640075684,43679970,1421.2235107422,69134970,303.5246276855,164594970,344.7136535645
2579970,346.7902526855,43694970,226.3411712646,69149970,1085.7900390625,164609970,965.0485229492
2594970,123.8887634277,43709970,1292.8251953125,69164970,201.446975708,164624970,241.2462310791
2609970,365.4352416992,43724970,49.9949684143,69179970,1063.6198730469,164639970,836.431640625
2639970,412.2586669922,43739970,1289.0386962891,69194970,317.0885314941,164654970,163.1474609375
2669970,417.8091125488,43769970,1434.2030029297,69209970,1191.0015869141,164669970,991.3713989258
2699970,411.810333252,43784970,89.9690856934,69224970,144.6587982178,164684970,208.0062866211
2729970,433.8662109375,43799970,1589.5284423828,69239970,1082.2542724609,164699970,857.3900756836
2759970,469.9291381836,43814970,208.3147735596,69254970,236.1342315674,164714970,199.0372772217
2789970,466.8870544434,43829970,1559.8013916016,69269970,889.6999511719,164729970,758.9137573242
2804970,217.9707794189,43859970,1504.7180175781,69284970,235.2503204346,164744970,282.6454772949
2819970,467.9165649414,43874970,319.1630249023,69299970,1158.5343017578,164759970,917.9532470703
2834970,165.3346099854,43889970,1343.8259277344,69314970,286.2937927246,164774970,115.915184021
2849970,459.9328918457,43904970,73.9311447144,69329970,796.8499145508,164789970,739.1307983398
2879970,472.5421447754,43919970,1413.5200195313,69344970,161.9189300537,164804970,320.915222168
2894970,181.6721954346,43934970,120.5245437622,69359970,1015.231628418,164819970,815.0365600586
2909970,445.5591125488,43949970,1434.375,69374970,218.3237457275,164834970,367.3414306641
2939970,405.2379150391,43964970,92.7288818359,69389970,1030.8905029297,164849970,860.7367553711
2954970,58.5673942566,43979970,1689.0773925781,69404970,115.9405670166,164864970,265.0537109375
2969970,403.6044921875,44009970,1554.9311523438,69419970,954.2153930664,164879970,820.789855957
2984970,235.3362121582,44039970,1399.1079101563,69434970,191.1767883301,164894970,269.8250732422
2999970,423.3760986328,44069970,1418.9562988281,69449970,871.5428466797,164909970,741.9309082031
3014970,232.4844055176,44099970,1351.4588623047,69464970,180.489074707,164924970,204.2162628174
3029970,409.0821533203,44114970,256.6192321777,69479970,803.6599731445,164939970,840.9221801758
3044970,133.306854248,44129970,1589.5563964844,69494970,387.1281738281,164954970,209.9126281738
